description,avg_gross_charge,description_clean
2.6 MM CANNULATED DRILL BIT,1346.0,2.6 mm cannulated drill bit
24 HR UNINE (ASSAY URINE PORPHYRINS),75.0,24 hr unine (assay urine porphyrins)
24 HR URINE (PORPHORBILINOGEN),48.0,24 hr urine (porphorbilinogen)
3D MAMMO - BREAST BILATERAL,85.0,3d mammo - breast bilateral
3D MAMMO - BREAST BILATERAL SCREENING,100.0,3d mammo - breast bilateral screening
3D MAMMO-BREAST UNILATERAL,85.0,3d mammo-breast unilateral
3X3 2CT PACKAGE,4.0,3x3 2ct package
4.0 MM DEPTH GAUGE/COUNTERSINK BLUE,794.0,4.0 mm depth gauge/countersink blue
4.0 MM HEADLESS SCREW LENGTH 38MM,1676.0,4.0 mm headless screw length 38mm
4.0 MM NONTHREADED KWIRE,261.0,4.0 mm nonthreaded kwire
4KSCORE PROSTATE ONCOLOGY,1199.0,4kscore prostate oncology
81479 (ONLY FOR NE DHHS NB SCREENING),10.0,81479 (only for ne dhhs nb screening)
82261 (ONLY FOR NE DHHS NB SCREENING),10.0,82261 (only for ne dhhs nb screening)
82657 (ONLY FOR NE DHHS NB SCREENING),10.0,82657 (only for ne dhhs nb screening)
82726 (ONLY FOR NE DHHS NB SCREENING),10.0,82726 (only for ne dhhs nb screening)
82760 (ONLY FOR NE DHHS NB SCREENING),10.0,82760 (only for ne dhhs nb screening)
82776 (ONLY FOR NE DHHS NB SCREENING),10.0,82776 (only for ne dhhs nb screening)
83020 (ONLY FOR NE DHHS NB SCREENING),10.0,83020 (only for ne dhhs nb screening)
83498 (ONLY FOR NE DHHS NB SCREENING),10.0,83498 (only for ne dhhs nb screening)
83516 (ONLY FOR NE DHHS NB SCREEN),10.0,83516 (only for ne dhhs nb screen)
83789 (ONLY FOR NE DHHS NB SCREEN),10.0,83789 (only for ne dhhs nb screen)
84437 (ONLY FOR NE DHHS NB SCREENING),10.0,84437 (only for ne dhhs nb screening)
ABILIFY 5 MG TAB,2.5,abilify 5 mg tab
ABRYSVO VIAL [120 MCG / 0.5 mL],631.0,abrysvo vial [120 mcg / 0.5 ml]
ACAPELLA PEP,159.0,acapella pep
"ACE BANDAGE 2""",4.5,"ace bandage 2"""
"ACE BANDAGE 3""",4.0,"ace bandage 3"""
"ACE BANDAGE 4""",5.0,"ace bandage 4"""
"ACE BANDAGE 6""",10.0,"ace bandage 6"""
ACETABULAR CUP 54MM,1890.0,acetabular cup 54mm
ACETAMINOPHEN 120MG SUPP,2.5,acetaminophen 120mg supp
ACETAMINOPHEN 160MG/5ML ELIXER,2.5,acetaminophen 160mg/5ml elixer
ACETAMINOPHEN 325MG TAB,2.5,acetaminophen 325mg tab
ACETAMINOPHEN 650MG SUPP,2.5,acetaminophen 650mg supp
ACETAMINOPHEN IV [1000 MG/100 mL],44.0,acetaminophen iv [1000 mg/100 ml]
ACETONE QUALIFIER,70.0,acetone qualifier
ACETONE QUANTIFIER,167.0,acetone quantifier
ACETYLCYSTEINE VIAL [6000 MG / 30 mL],178.0,acetylcysteine vial [6000 mg / 30 ml]
ACETYLCYSTEINE VIAL [800 MG/4 mL],20.0,acetylcysteine vial [800 mg/4 ml]
ACH RECEPTOR AB BINDING,271.0,ach receptor ab binding
ACID FAST SMEAR,92.0,acid fast smear
ACTH,285.0,acth
ACTIVATED CHARCOAL 25GM,63.0,activated charcoal 25gm
ACTIVATED PROTEIN C (APC) RES ASSAY,309.0,activated protein c (apc) res assay
ACTIVATED PROTIEN C APC,179.0,activated protien c apc
ACUTE ISOLATION ROOM,1895.0,acute isolation room
ACYCLOVER 400 MG TAB,2.5,acyclover 400 mg tab
ADDITIONAL CELLS COUNTED,55.0,additional cells counted
ADDITIONAL KARYOTYPES,71.0,additional karyotypes
ADENOIDECTOMY AGE<12,2370.0,adenoidectomy age<12
ADENOSINE 6MG/2ML SYR IV,20.0,adenosine 6mg/2ml syr iv
ADJACENT TISSUE S/A/L 10.1-30 SQCM,1600.0,adjacent tissue s/a/l 10.1-30 sqcm
ADJUST-A-LIFT HEEL LIFT (LARGE),17.5,adjust-a-lift heel lift (large)
ADJUST-A-LIFT HEEL LIFT (MEDIUM),19.0,adjust-a-lift heel lift (medium)
ADJUST-A-LIFT HEEL LIFT (SMALL),17.5,adjust-a-lift heel lift (small)
ADOLASE,98.0,adolase
ADVANCED BRAIN IMAGING NOT ORDERED,0.01,advanced brain imaging not ordered
ADVANCED CARE PLANNING,175.0,advanced care planning
ADVANCED CARE PLANNING EACH ADD 30 MIN,145.0,advanced care planning each add 30 min
ADVANTAGE FIT TRANSVAGL MID-URETH SLING,1934.0,advantage fit transvagl mid-ureth sling
ADVINCULA DELINEATOR 3.5,511.0,advincula delineator 3.5
AEROSOL MASK UNDER CHIN,4.0,aerosol mask under chin
AIRCAST,128.0,aircast
AIRWAY BOUGIE 15FR SINGLE USE,42.0,airway bougie 15fr single use
AIRWAY CANNULA ORAL 9CM,4.0,airway cannula oral 9cm
AIRWAY LARYNGEAL MASK SZ 1,79.0,airway laryngeal mask sz 1
AIRWAY LARYNGEAL MASK SZ 1.5,79.0,airway laryngeal mask sz 1.5
AIRWAY LARYNGEAL MASK SZ 3,143.0,airway laryngeal mask sz 3
AIRWAY LARYNGEAL MASK SZ 4,20.0,airway laryngeal mask sz 4
AIRWAY LARYNGEAL MASK SZ 5,143.0,airway laryngeal mask sz 5
AIRWAY NASOPHARNGEAL 26FR,9.5,airway nasopharngeal 26fr
AIRWAY NASOPHARYNGEAL 14 FR,9.0,airway nasopharyngeal 14 fr
AIRWAY NASOPHARYNGEAL 24FR,9.5,airway nasopharyngeal 24fr
AIRWAY NASOPHARYNGEAL 28 FR,9.5,airway nasopharyngeal 28 fr
AIRWAY NASOPHARYNGEAL 30FR,9.5,airway nasopharyngeal 30fr
