description,avg_gross_charge,description_clean
"#3-0 FW,BRAID POLYBLEND S",81.4,"#3-0 fw,braid polyblend s"
"*CATHETER KIT, MIDLINE, 3",516.6,"*catheter kit, midline, 3"
"*CATHETER KIT, POWERGLIDE",336.48,"*catheter kit, powerglide"
"*CNSGNMNT, ANCHOR, 6.5 TI",781.92,"*cnsgnmnt, anchor, 6.5 ti"
"*DBM, PUTTY, 2.5CC",1244.68,"*dbm, putty, 2.5cc"
"*DBM, PUTTY, 5CC",2016.3000000000002,"*dbm, putty, 5cc"
"+#4-0 FW,BRAID POLYBLEND",81.4,"+#4-0 fw,braid polyblend"
"+NANO SWIVELOCK, 2.5 X 7M",1233.57,"+nano swivelock, 2.5 x 7m"
2-0 FW BLUE W/ TPR 3/8CIR,81.4,2-0 fw blue w/ tpr 3/8cir
24 HOUR URINE MEASUREMENT,40.0,24 hour urine measurement
3-D RADIOTHERAPY PLAN,7599.25,3-d radiotherapy plan
3-WAY ABDOMEN,295.5,3-way abdomen
3X16 ADAPTIC DRESSING,16.75,3x16 adaptic dressing
AB-BAG IV CLAVE ACCESS DE,13.5,ab-bag iv clave access de
AB-MICRON FILTER SET .22,12.22,ab-micron filter set .22
ABATACEPT 250 MG SOLR,3085.0,abatacept 250 mg solr
"ABD 12"" UNIVERSAL BINDER",28.779999999999998,"abd 12"" universal binder"
ABD BINDER LARGE - X-LARG,30.809999999999995,abd binder large - x-larg
ABD BINDER UNIVERSAL,17.48,abd binder universal
ABDOMEN,3480.0,abdomen
ABDOMEN 1 VIEW,87.25,abdomen 1 view
ABDOMEN 2 VIEW,142.0,abdomen 2 view
ABDOMEN COMPLETE,947.5,abdomen complete
ABDOMEN W W/O CONTRAST,4632.75,abdomen w w/o contrast
ABDOMEN W/CONTRAST,2786.125,abdomen w/contrast
ABDOMEN W/O CONTRAST,2543.75,abdomen w/o contrast
ABDOMEN W/O W/CONTRAST,3572.25,abdomen w/o w/contrast
ABDOMEN-LIMITED,773.5,abdomen-limited
ABDOMINAL DUPLEX COMPLETE,1229.25,abdominal duplex complete
ABDOMINAL DUPLEX LIMITED,961.0,abdominal duplex limited
ABDOMINAL PARACENTESIS W/,1304.5,abdominal paracentesis w/
ABDUCTION PILLOW,386.25,abduction pillow
ABDUCTION POSITIONER-SHOU,202.25,abduction positioner-shou
ABIRATERONE 250 MG TAB,314.5,abiraterone 250 mg tab
ABIRATERONE 500 MG TAB,590.5,abiraterone 500 mg tab
"ABLATION, SOFT TISSUE INF",480.5,"ablation, soft tissue inf"
"ABLATION, SOFT TISSUE SUP",598.0,"ablation, soft tissue sup"
ABO-TYPE,91.0,abo-type
ABSORBA TACK,1157.68,absorba tack
ACAMPROSATE 333 MG TBEC,10.25,acamprosate 333 mg tbec
ACARBOSE 50 MG TAB,6.75,acarbose 50 mg tab
ACEBUTOLOL 200 MG CAP,2.25,acebutolol 200 mg cap
ACETAMINOPHEN,312.0,acetaminophen
ACETAMINOPHEN (CHILDREN'S) 160 MG CHEW,4.0,acetaminophen (children's) 160 mg chew
ACETAMINOPHEN (CHILDREN'S) 80 MG CHEW,2.0,acetaminophen (children's) 80 mg chew
ACETAMINOPHEN 1000 MG/100 ML (10 MG/ML) BOTL,99.0,acetaminophen 1000 mg/100 ml (10 mg/ml) botl
ACETAMINOPHEN 120 MG SUPP,12.5,acetaminophen 120 mg supp
ACETAMINOPHEN 160 MG/5 ML ELIX,6.25,acetaminophen 160 mg/5 ml elix
ACETAMINOPHEN 325 MG SUPP,12.5,acetaminophen 325 mg supp
ACETAMINOPHEN 325 MG TAB,2.0,acetaminophen 325 mg tab
ACETAMINOPHEN 650 MG SUPP,12.5,acetaminophen 650 mg supp
ACETAMINOPHEN 650 MG TBER,2.0,acetaminophen 650 mg tber
ACETAMINOPHEN E/S 500 MG TAB,2.0,acetaminophen e/s 500 mg tab
ACETAMINOPHEN-CODEINE 120-12 MG/5 ML ELIX,9.0,acetaminophen-codeine 120-12 mg/5 ml elix
ACETAMINOPHEN-CODEINE 300-30 MG TAB,3.0,acetaminophen-codeine 300-30 mg tab
ACETAMINOPHEN-DIPHENHYDRAMINE 25-500 MG TAB,2.0,acetaminophen-diphenhydramine 25-500 mg tab
"ACETONE, SERUM",74.0,"acetone, serum"
"ACETONE,QUAL.,URINE",50.0,"acetone,qual.,urine"
ACETYLCHOLINE CHLORIDE 1 % (10 MG/ML) KIT,478.5,acetylcholine chloride 1 % (10 mg/ml) kit
ACETYLCYSTEINE (IV) 200 MG/ML (20 %) VIAL,215.5,acetylcysteine (iv) 200 mg/ml (20 %) vial
ACETYLCYSTEINE 200 MG/ML (20 %) VIAL,55.125,acetylcysteine 200 mg/ml (20 %) vial
ACETYLCYSTEINE 600 MG CAP,2.0,acetylcysteine 600 mg cap
ACHILLES KNOTLESS TIGHTRO,1988.5,achilles knotless tightro
ACHILLES MIDSUBSTANCE SPE,2716.35,achilles midsubstance spe
ACHILLES REPAIR IMPLANT S,2318.3,achilles repair implant s
ACID REFLUX TESTING W/PH,1012.75,acid reflux testing w/ph
ACITRETIN 10 MG CAP,82.0,acitretin 10 mg cap
ACL AUGMENTATION ASST SUR,547.0,acl augmentation asst sur
ACL AUGMENTATION OR RECON,3293.625,acl augmentation or recon
ACL BONE TUNNEL PLUG,161.75,acl bone tunnel plug
ACL CANULATED SCREWS,393.75,acl canulated screws
ACL HALL SAW BLADE W'/STO,209.76,acl hall saw blade w'/sto
ACL HYPERFLEX GUIDE WIRES,93.145,acl hyperflex guide wires
ACL SAW BLADE,340.5,acl saw blade
ACL SPIKED WASHER,402.0,acl spiked washer
ACL TIGHTROPE,1011.5,acl tightrope
ACLIDINIUM BROMIDE 400 MCG/ACTUATION AEPB,369.5,aclidinium bromide 400 mcg/actuation aepb
ACNE SURGERY,294.0,acne surgery
"ACP KIT, SERIES 1",551.25,"acp kit, series 1"
ACROMIOCLAVICULAR JOINTS,215.86363636363637,acromioclavicular joints
"ACROMIOCLAVICULAR JOINTS,",83.0,"acromioclavicular joints,"
ACROMIOCLAVICULAR SPLINT,346.0,acromioclavicular splint
ACTIVATED CHARCOAL 25 GRAM/120 ML SUSP,79.75,activated charcoal 25 gram/120 ml susp
ACTIVATED CHARCOAL 50 GRAM/240 ML SUSP,16.0,activated charcoal 50 gram/240 ml susp
